SiteID;Site;Country;Province;Town;Latitude;Longitude;Eastings_X;Northings_Y;Stage;Iddates;Score;LabNumber;Method;AGE;STD;Delta13C;Delta15N;Material;Context;Size_m2;Species_45_30ky;Species_all;Type;Function;Source;Observations
S001;A Valina;Spain;Lugo;Castroverde ;43,31667;-7,46667;624336,4;4797122,9;Chatelperronian;S001-03;20;GrA-3014;14C-AMS;31600;250;n/a;n/a;charcoal;IV;14;Neanderthals;Both;Cave;Seasonal camp;Llana Rodriguez et al. 1996;n/a
S001;A Valina;Spain;Lugo;Castroverde ;43,31667;-7,46667;624336,4;4797122,9;Chatelperronian;S001-02;20;GrN-20833;14C-AMS;31730;2800;n/a;n/a;bone ;IV;14;Neanderthals;Both;Cave;Seasonal camp;Llana Rodriguez et al. 1996;n/a
S001;A Valina;Spain;Lugo;Castroverde ;43,31667;-7,46667;624336,4;4797122,9;Chatelperronian;S001-01;20;GrN-17729;14C-AMS;34800;1900;n/a;n/a;bone;IV;14;Neanderthals;Both;Cave;Seasonal camp;Llana Rodriguez et al. 1996;n/a
S002;Cova Eiros;Spain;Lugo;Triacastela ;42,75224;-7,21015;646474,4;4734855,4;Aurignacian;S002-03;21;Beta-254280;14C-AMS;31690;240;n/a;n/a;bone;2;7;Sapiens;Both;Cave;Seasonal camp;Rodriguez-Alvarez et al. 2011;n/a
S002;Cova Eiros;Spain;Lugo;Triacastela ;42,75224;-7,21015;646474,4;4734855,4;Aurignacian;S002-02;n/a;MAD-5611BIN;OSL;32787;2478;n/a;n/a;sediment;2;7;Sapiens;Both;Cave;Seasonal camp;de Lombera-Hermida et al. 2021;n/a
S002;Cova Eiros;Spain;Lugo;Triacastela ;42,75224;-7,21015;646474,4;4734855,4;Mousterian;S002-01;20;OxA-30471;14C-AMS;35100;700;n/a;n/a;bone;3;7;Neanderthals;Both;Cave;Seasonal camp;Rey-Rodriguez et al. 2016;n/a
S003;El Conde;Spain;Asturias;Santo Adriano;43,29859;-5,98599;257792;4798304;Aurignacian;S003-06;18;Beta-217216;14C-AMS;32530;440;n/a;n/a;bone  ;N20C;2;Sapiens;Both;Cave;Seasonal camp;Uzquiano et al. 2008;n/a
S003;El Conde;Spain;Asturias;Santo Adriano;43,29859;-5,98599;257792;4798304;Aurignacian;S003-05;18;Beta-224303;14C-AMS;34730;500;n/a;n/a;bone  ;N20b;2;Sapiens;Both;Cave;Seasonal camp;Uzquiano et al. 2008;n/a
S003;El Conde;Spain;Asturias;Santo Adriano;43,29859;-5,98599;257792;4798304;Mousterian;S003-04;22;Beta-230416;14C-AMS;37710;470;n/a;n/a;charcoal;N20a;2;Neanderthals;Both;Cave;Seasonal camp;Uzquiano et al. 2008;n/a
S003;El Conde;Spain;Asturias;Santo Adriano;43,29859;-5,98599;257792;4798304;Mousterian;S003-03;24;Beta-210572;14C-AMS;38250;390;n/a;n/a;bone;N20a;2;Neanderthals;Both;Cave;Seasonal camp;Uzquiano et al. 2008;n/a
