Iddates;Score;contamination;chemical fraction;accuracy;relevance to human activity;relevance to specific archaeological entity;quantity/nature of dates;materials/stratigraphic issues;materials/measurement;methods and reporting
S001-03;20;2;2;2;2;2;2;2;3;3
S001-02;20;2;2;2;2;2;2;2;3;3
S001-01;20;2;2;2;2;2;2;2;3;3
S002-03;21;3;2;2;2;3;1;2;3;3
S002-02;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
S002-01;20;3;2;2;2;3;0;2;3;3
S003-06;18;3;2;0;2;3;0;2;3;3
S003-05;18;3;2;0;2;3;0;2;3;3
S003-04;22;2;2;2;2;3;3;2;3;3
S003-03;24;3;3;2;2;3;3;2;3;3
S003-02;17;3;2;0;2;3;0;2;3;2
S003-01;24;3;3;2;2;3;3;2;3;3
S004-08;32;4;3;3;4;4;4;4;3;3
S004-07;32;4;3;3;4;4;4;4;3;3
S004-06;32;4;3;3;4;4;4;4;3;3
S004-05;32;4;3;3;4;4;4;4;3;3
S004-04;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
S004-03;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
S004-02;32;4;3;3;4;4;4;4;3;3
S004-01;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
S005-16;22;3;2;2;2;3;2;2;3;3
S005-15;18;3;2;0;2;3;0;2;3;3
S005-14;24;3;2;2;2;3;4;2;3;3
S005-13;24;3;2;2;2;3;4;2;3;3
S005-12;24;3;2;2;2;3;4;2;3;3
S005-11;24;3;2;2;2;3;4;2;3;3
S005-10;24;3;2;2;2;3;4;2;3;3
S005-09;24;3;2;2;2;3;4;2;3;3
S005-08;24;3;2;2;2;3;4;2;3;3
S005-07;25;3;2;2;4;4;2;2;3;3
S005-06;22;3;2;2;2;3;2;2;3;3
S005-05;24;2;2;2;4;4;2;2;3;3
S005-04;24;2;2;2;4;4;2;2;3;3
S005-03;22;2;2;2;2;3;2;3;3;3
